upstream;category;language;cve_id;fix_sha;filepath;churn;fork;fork_pushed;sha_match;status;sim_2a;label_2a;sim_patch;sim_vuln;delta;label_2b;method;ts
matrix-org/vodozemac;support;rust;CVE-2024-40640;77765dace11266ef9523301624a01265c6e0f790;src/megolm/session_keys.rs;16;CommE2E/vodozemac;2026-01-20T02:07:54Z;False;CORRIGIDO;0.9956;CORRIGIDO;0.9956;0.9797;0.016;ZONA_INCERTEZA;lev_only;2026-08-31T23:17:25.422442+00:00
matrix-org/vodozemac;support;rust;CVE-2024-40640;77765dace11266ef9523301624a01265c6e0f790;src/megolm/session_keys.rs;16;xsanm/vodozemac;2025-10-31T10:51:29Z;False;CORRIGIDO;0.9956;CORRIGIDO;0.9956;0.9797;0.016;ZONA_INCERTEZA;lev_only;2026-08-31T23:17:26.044584+00:00
matrix-org/vodozemac;support;rust;CVE-2024-40640;77765dace11266ef9523301624a01265c6e0f790;src/megolm/session_keys.rs;16;tangowhisky-dev/vodozemac;2025-09-03T16:59:50Z;False;CORRIGIDO;0.9956;CORRIGIDO;0.9956;0.9797;0.016;ZONA_INCERTEZA;lev_only;2026-08-31T23:17:26.711250+00:00
element-hq/matrix-authentication-service;support;rust;CVE-2025-62425;bce99edb6177be11f8f38c1d01f5606ce7b4b2e5;crates/handlers/src/graphql/tests.rs;305;Gua-ra/gua-auth-service;2026-08-28T22:34:26Z;False;CORRIGIDO;0.9933;CORRIGIDO;0.9933;0.6922;0.3012;CORRIGIDO;lev_only;2026-08-31T23:17:41.943467+00:00
element-hq/matrix-authentication-service;support;rust;CVE-2025-62425;bce99edb6177be11f8f38c1d01f5606ce7b4b2e5;crates/handlers/src/graphql/tests.rs;305;tchapgouv/matrix-authentication-service;2026-08-25T12:22:50Z;False;CORRIGIDO;0.9933;CORRIGIDO;0.9933;0.6922;0.3012;CORRIGIDO;lev_only;2026-08-31T23:17:42.711399+00:00
element-hq/matrix-authentication-service;support;rust;CVE-2025-62425;bce99edb6177be11f8f38c1d01f5606ce7b4b2e5;crates/handlers/src/graphql/tests.rs;305;Tween-IM/tween-authentication-service;2026-08-05T15:33:23Z;False;CORRIGIDO;0.659;ZONA_INCERTEZA;0.659;0.4593;0.1997;CORRIGIDO;lev_only;2026-08-31T23:17:43.510070+00:00
element-hq/element-android;client;kotlin;CVE-2025-27606;87d7fcdc8036a4db4da8c403f87c73a64a546304;vector/src/main/java/im/vector/app/features/pin/PinFragment.kt;8;luki-ev/synod-android;2026-08-23T19:03:08Z;True;CORRIGIDO;1.0;CORRIGIDO;1.0;;;CORRIGIDO;lev_only;2026-08-31T23:18:18.717022+00:00
element-hq/element-android;client;kotlin;CVE-2025-27606;87d7fcdc8036a4db4da8c403f87c73a64a546304;vector/src/main/java/im/vector/app/features/pin/PinFragment.kt;8;H1d3r/element-android;2026-08-21T10:43:26Z;True;CORRIGIDO;1.0;CORRIGIDO;1.0;;;CORRIGIDO;lev_only;2026-08-31T23:18:19.335051+00:00
element-hq/element-android;client;kotlin;CVE-2025-27606;87d7fcdc8036a4db4da8c403f87c73a64a546304;vector/src/main/java/im/vector/app/features/pin/PinFragment.kt;8;validkanaheiuser/element-android;2026-08-19T11:21:58Z;True;CORRIGIDO;1.0;CORRIGIDO;1.0;;;CORRIGIDO;lev_only;2026-08-31T23:18:19.946080+00:00
element-hq/element-android;client;kotlin;CVE-2024-26132;8f9695a9a8d944cb9b92568cbd76578c51d32e07;library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt;2;luki-ev/synod-android;2026-08-23T19:03:08Z;False;CORRIGIDO;1.0;CORRIGIDO;1.0;0.9489;0.0511;CORRIGIDO;lev+zss;2026-08-31T23:18:49.465229+00:00
element-hq/element-android;client;kotlin;CVE-2024-26132;8f9695a9a8d944cb9b92568cbd76578c51d32e07;library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt;2;H1d3r/element-android;2026-08-21T10:43:26Z;False;CORRIGIDO;1.0;CORRIGIDO;1.0;0.9489;0.0511;CORRIGIDO;lev+zss;2026-08-31T23:19:17.831505+00:00
element-hq/element-android;client;kotlin;CVE-2024-26132;8f9695a9a8d944cb9b92568cbd76578c51d32e07;library/multipicker/src/main/java/im/vector/lib/multipicker/utils/MediaFileUtils.kt;2;validkanaheiuser/element-android;2026-08-19T11:21:58Z;False;CORRIGIDO;1.0;CORRIGIDO;1.0;0.9489;0.0511;CORRIGIDO;lev+zss;2026-08-31T23:19:45.355501+00:00
element-hq/element-android;client;kotlin;CVE-2024-26131;53734255ec270b0814946350787393dfcaa2a5a9;vector/src/main/java/im/vector/app/features/MainActivity.kt;19;luki-ev/synod-android;2026-08-23T19:03:08Z;False;CORRIGIDO;0.9727;CORRIGIDO;0.9727;0.9083;0.0644;CORRIGIDO;lev_only;2026-08-31T23:19:48.591354+00:00
element-hq/element-android;client;kotlin;CVE-2024-26131;53734255ec270b0814946350787393dfcaa2a5a9;vector/src/main/java/im/vector/app/features/MainActivity.kt;19;H1d3r/element-android;2026-08-21T10:43:26Z;False;CORRIGIDO;0.9727;CORRIGIDO;0.9727;0.9083;0.0644;CORRIGIDO;lev_only;2026-08-31T23:19:49.395276+00:00
element-hq/element-android;client;kotlin;CVE-2024-26131;53734255ec270b0814946350787393dfcaa2a5a9;vector/src/main/java/im/vector/app/features/MainActivity.kt;19;validkanaheiuser/element-android;2026-08-19T11:21:58Z;False;CORRIGIDO;0.9109;CORRIGIDO;0.9109;0.8482;0.0627;CORRIGIDO;lev_only;2026-08-31T23:19:50.036219+00:00
