upstream;categoria;linguagem;cve_id;fork;status;arquivo;eh_arquivo_de_teste;fix_sha;data_fix_upstream;data_ultimo_toque_fork;lag_dias;lag_confiavel;sim_2a;delta;metrica;fork_created_at;fork_pushed_at;ahead_by;behind_by;stars
matrix-org/vodozemac;support;rust;CVE-2024-40640;CommE2E/vodozemac;CORRIGIDO;src/megolm/session_keys.rs;nao;734b6c6948d4b2bdee3dd8b4efa591d93a61d272;2024-05-20T11:52:45Z;2025-01-29T17:19:03Z;254.2;sim;0.9956;0.016;lev_only;2025-11-12T15:21:45Z;2026-01-20T02:07:54Z;25;125;1
matrix-org/vodozemac;support;rust;CVE-2024-40640;xsanm/vodozemac;CORRIGIDO;src/megolm/session_keys.rs;nao;734b6c6948d4b2bdee3dd8b4efa591d93a61d272;2024-05-20T11:52:45Z;2025-01-29T17:19:03Z;254.2;sim;0.9956;0.016;lev_only;2025-10-31T10:44:19Z;2025-10-31T10:51:29Z;1;148;0
matrix-org/vodozemac;support;rust;CVE-2024-40640;tangowhisky-dev/vodozemac;CORRIGIDO;src/megolm/session_keys.rs;nao;734b6c6948d4b2bdee3dd8b4efa591d93a61d272;2024-05-20T11:52:45Z;2025-01-29T17:19:03Z;254.2;sim;0.9956;0.016;lev_only;2025-08-29T08:50:14Z;2025-09-03T16:59:50Z;28;170;0
matrix-org/vodozemac;support;rust;CVE-2024-40640;CommE2E/vodozemac;CORRIGIDO;src/megolm/session_keys.rs;nao;77765dace11266ef9523301624a01265c6e0f790;2024-05-20T14:19:30Z;2025-01-29T17:19:03Z;254.1;sim;0.9956;0.016;lev_only;2025-11-12T15:21:45Z;2026-01-20T02:07:54Z;25;125;1
matrix-org/vodozemac;support;rust;CVE-2024-40640;xsanm/vodozemac;CORRIGIDO;src/megolm/session_keys.rs;nao;77765dace11266ef9523301624a01265c6e0f790;2024-05-20T14:19:30Z;2025-01-29T17:19:03Z;254.1;sim;0.9956;0.016;lev_only;2025-10-31T10:44:19Z;2025-10-31T10:51:29Z;1;148;0
matrix-org/vodozemac;support;rust;CVE-2024-40640;tangowhisky-dev/vodozemac;CORRIGIDO;src/megolm/session_keys.rs;nao;77765dace11266ef9523301624a01265c6e0f790;2024-05-20T14:19:30Z;2025-01-29T17:19:03Z;254.1;sim;0.9956;0.016;lev_only;2025-08-29T08:50:14Z;2025-09-03T16:59:50Z;28;170;0
element-hq/matrix-authentication-service;support;rust;CVE-2025-62425;Gua-ra/gua-auth-service;CORRIGIDO;crates/handlers/src/graphql/tests.rs;sim;bce99edb6177be11f8f38c1d01f5606ce7b4b2e5;2025-10-16T14:23:39Z;2026-04-09T16:01:53Z;175.1;sim;0.9933;0.3012;lev_only;2026-06-11T15:33:14Z;2026-09-02T02:17:34Z;39;482;0
element-hq/matrix-authentication-service;support;rust;CVE-2025-62425;tchapgouv/matrix-authentication-service;CORRIGIDO;crates/handlers/src/graphql/tests.rs;sim;bce99edb6177be11f8f38c1d01f5606ce7b4b2e5;2025-10-16T14:23:39Z;2026-04-09T16:01:53Z;175.1;sim;0.9933;0.3012;lev_only;2024-10-11T14:35:44Z;2026-08-25T12:22:50Z;122;79;0
element-hq/matrix-authentication-service;support;rust;CVE-2025-62425;Tween-IM/tween-authentication-service;CORRIGIDO;crates/handlers/src/graphql/tests.rs;sim;bce99edb6177be11f8f38c1d01f5606ce7b4b2e5;2025-10-16T14:23:39Z;2026-08-05T00:07:43Z;292.4;sim;0.659;0.1997;lev_only;2026-04-17T00:51:31Z;2026-08-05T15:33:23Z;6;77;0
element-hq/element-android;client;kotlin;CVE-2025-27606;luki-ev/synod-android;CORRIGIDO;vector/src/main/java/im/vector/app/features/pin/PinFragment.kt;nao;87d7fcdc8036a4db4da8c403f87c73a64a546304;2025-03-13T14:32:19Z;2025-02-28T08:58:49Z;-13.2;nao;1.0;;lev_only;2020-03-25T13:21:07Z;2026-08-23T19:03:08Z;272;14;5
element-hq/element-android;client;kotlin;CVE-2025-27606;H1d3r/element-android;CORRIGIDO;vector/src/main/java/im/vector/app/features/pin/PinFragment.kt;nao;87d7fcdc8036a4db4da8c403f87c73a64a546304;2025-03-13T14:32:19Z;2025-02-28T08:58:49Z;-13.2;nao;1.0;;lev_only;2025-08-01T07:36:49Z;2026-08-21T10:43:26Z;35;76;0
element-hq/element-android;client;kotlin;CVE-2025-27606;validkanaheiuser/element-android;CORRIGIDO;vector/src/main/java/im/vector/app/features/pin/PinFragment.kt;nao;87d7fcdc8036a4db4da8c403f87c73a64a546304;2025-03-13T14:32:19Z;2025-02-28T08:58:49Z;-13.2;nao;1.0;;lev_only;2026-05-16T21:20:36Z;2026-08-19T11:21:58Z;29;6;0
