github_owner;github_repo;dependency;cpe_uuid;cpe_uri;creation_date;last_midication_date;deprecated;deprecated_by;part;vendor;product;version;update;edition;language;sw_edition;target_sw;target_hw;other
matrix-org;olm;1;D12A1F29-655C-4944-8940-272AFFC04502;cpe:2.3:a:matrix:olm:3.2.2:*:*:*:*:*:*:*;2021-12-17T17:42:47.870;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.2.2;*;*;*;*;*;*;*
matrix-org;olm;1;016515F0-CA5D-4910-AC5F-42A125A65345;cpe:2.3:a:matrix:olm:3.2.1:*:*:*:*:*:*:*;2021-12-17T17:42:47.870;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.2.1;*;*;*;*;*;*;*
matrix-org;olm;1;5FF5118E-90B5-4170-8D6A-916346105B10;cpe:2.3:a:matrix:olm:3.2.0:*:*:*:*:*:*:*;2021-12-17T17:42:47.870;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.2.0;*;*;*;*;*;*;*
matrix-org;olm;1;F5CCBE89-EE29-4472-A69B-049ECBC31FFD;cpe:2.3:a:matrix:olm:3.1.5:*:*:*:*:*:*:*;2021-12-17T17:42:47.870;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.1.5;*;*;*;*;*;*;*
matrix-org;olm;1;D1BFA5B3-6637-4864-8CE7-1E670FF8FE8A;cpe:2.3:a:matrix:olm:3.1.4:*:*:*:*:*:*:*;2021-12-17T17:42:47.870;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.1.4;*;*;*;*;*;*;*
matrix-org;olm;1;2B019A15-FE8B-41C2-AEC6-8975A7B0FF6E;cpe:2.3:a:matrix:olm:3.1.3:*:*:*:*:*:*:*;2021-12-17T17:42:47.870;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.1.3;*;*;*;*;*;*;*
matrix-org;olm;1;5CCB29BE-8644-4F19-9EE3-5433A297568F;cpe:2.3:a:matrix:olm:3.1.2:*:*:*:*:*:*:*;2021-12-17T17:42:47.870;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.1.2;*;*;*;*;*;*;*
matrix-org;olm;1;5EB176A2-0615-4B7F-9BF2-552EF77B7E69;cpe:2.3:a:matrix:olm:3.1.1:*:*:*:*:*:*:*;2021-12-17T17:42:47.870;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.1.1;*;*;*;*;*;*;*
matrix-org;olm;1;484813E7-4F1C-4286-B052-C85B8137E79D;cpe:2.3:a:matrix:olm:3.1.0:-:*:*:*:*:*:*;2021-12-17T17:43:48.583;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.1.0;-;*;*;*;*;*;*
matrix-org;olm;1;00C88F22-9698-47C8-BD0B-78017CB73A69;cpe:2.3:a:matrix:olm:3.1.0:pre1:*:*:*:*:*:*;2021-12-17T17:43:48.583;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.1.0;pre1;*;*;*;*;*;*
matrix-org;olm;1;2B297B66-BD48-421C-9063-53BA436E1446;cpe:2.3:a:matrix:olm:3.0.0:*:*:*:*:*:*:*;2021-12-17T17:42:47.870;2021-12-17T19:02:40.523;False;;a;matrix;olm;3.0.0;*;*;*;*;*;*;*
