upstream;category;cve;fork;fix_sha;filepath;tipo;auto_status;sim_ast;gt_label;gt_confidence;is_removal_patch;lines_checked;lines_present;lines_absent;evidence_file
matrix-org/matrix-rust-sdk;sdk;CVE-2022-39252;matrix-construct/matrix-rust-sdk;41449d2cc360e347f5d4e1c154ec1e3185f11acd;crates/matrix-sdk-crypto/src/gossiping/machine.rs;ZONA_INCERTEZA;ZONA_INCERTEZA;0.556;CONFIRMED_PATCHED;0.8;False;15;12;3;evidencias_gt_dissertacao/CVE-2022-39252/matrix-construct_matrix-rust-sdk_41449d2c_crates_matrix-sdk-crypto_src_gossiping_machine.rs
matrix-org/matrix-rust-sdk;sdk;CVE-2025-48937;SchildiChat/matrix-rust-sdk;13c1d2048286bbabf5e7bc6b015aafee98f04d55;crates/matrix-sdk-crypto/src/machine/mod.rs;ZONA_INCERTEZA;ZONA_INCERTEZA;0.8;CONFIRMED_PATCHED;1.0;False;7;7;0;evidencias_gt_dissertacao/CVE-2025-48937/SchildiChat_matrix-rust-sdk_13c1d204_crates_matrix-sdk-crypto_src_machine_mod.rs
matrix-org/matrix-rust-sdk;sdk;CVE-2025-48937;verji/matrix-rust-sdk;13c1d2048286bbabf5e7bc6b015aafee98f04d55;crates/matrix-sdk-crypto/src/machine/mod.rs;ZONA_INCERTEZA;ZONA_INCERTEZA;0.8;CONFIRMED_PATCHED;1.0;False;7;7;0;evidencias_gt_dissertacao/CVE-2025-48937/verji_matrix-rust-sdk_13c1d204_crates_matrix-sdk-crypto_src_machine_mod.rs
matrix-org/matrix-rust-sdk;sdk;CVE-2025-48937;matrix-construct/matrix-rust-sdk;13c1d2048286bbabf5e7bc6b015aafee98f04d55;crates/matrix-sdk-crypto/src/machine/mod.rs;L2_CORRIGIDO;CORRIGIDO;0.8181;CONFIRMED_PATCHED;1.0;False;7;7;0;evidencias_gt_dissertacao/CVE-2025-48937/matrix-construct_matrix-rust-sdk_13c1d204_crates_matrix-sdk-crypto_src_machine_mod.rs
matrix-org/matrix-rust-sdk;sdk;CVE-2024-34353;SchildiChat/matrix-rust-sdk;71136e44c03c79f80d6d1a2446673bc4d53a2067;crates/matrix-sdk/src/encryption/mod.rs;ZONA_INCERTEZA;ZONA_INCERTEZA;0.5102;CONFIRMED_PATCHED;0.8667;False;15;13;2;evidencias_gt_dissertacao/CVE-2024-34353/SchildiChat_matrix-rust-sdk_71136e44_crates_matrix-sdk_src_encryption_mod.rs
matrix-org/matrix-rust-sdk;sdk;CVE-2024-34353;verji/matrix-rust-sdk;71136e44c03c79f80d6d1a2446673bc4d53a2067;crates/matrix-sdk/src/encryption/mod.rs;ZONA_INCERTEZA;ZONA_INCERTEZA;0.5102;CONFIRMED_PATCHED;0.8667;False;15;13;2;evidencias_gt_dissertacao/CVE-2024-34353/verji_matrix-rust-sdk_71136e44_crates_matrix-sdk_src_encryption_mod.rs
matrix-org/matrix-rust-sdk;sdk;CVE-2024-34353;matrix-construct/matrix-rust-sdk;71136e44c03c79f80d6d1a2446673bc4d53a2067;crates/matrix-sdk/src/encryption/mod.rs;ZONA_INCERTEZA;ZONA_INCERTEZA;0.5103;CONFIRMED_PATCHED;0.8667;False;15;13;2;evidencias_gt_dissertacao/CVE-2024-34353/matrix-construct_matrix-rust-sdk_71136e44_crates_matrix-sdk_src_encryption_mod.rs
matrix-org/matrix-appservice-irc;bridge;CVE-2023-38690;oI0ck/matrix-appservice-irc;0afb064635d37e039067b5b3d6423448b93026d3;src/irc/BridgedClient.ts;L2_CORRIGIDO;CORRIGIDO;0.9961;CONFIRMED_PATCHED;1.0;False;1;1;0;evidencias_gt_dissertacao/CVE-2023-38690/oI0ck_matrix-appservice-irc_0afb0646_src_irc_BridgedClient.ts
matrix-org/matrix-appservice-irc;bridge;CVE-2023-38690;jamesjen/matrix-appservice-irc;0afb064635d37e039067b5b3d6423448b93026d3;src/irc/BridgedClient.ts;L2_CORRIGIDO;CORRIGIDO;0.9961;CONFIRMED_PATCHED;1.0;False;1;1;0;evidencias_gt_dissertacao/CVE-2023-38690/jamesjen_matrix-appservice-irc_0afb0646_src_irc_BridgedClient.ts
matrix-org/matrix-appservice-irc;bridge;CVE-2023-38700;oI0ck/matrix-appservice-irc;8bbd2b69a16cbcbeffdd9b5c973fd89d61498d75;src/bridge/MatrixHandler.ts;L2_CORRIGIDO;CORRIGIDO;0.9561;CONFIRMED_PATCHED;1.0;False;15;15;0;evidencias_gt_dissertacao/CVE-2023-38700/oI0ck_matrix-appservice-irc_8bbd2b69_src_bridge_MatrixHandler.ts
