categoria;cve;fork;arquivo;gt_label;gt_conf;auto_agregado;classificacao;commit_fix_upstream;arquivo_no_fork;veredito_humano;observacao
integration;CVE-2025-23197;maladesov/matrix-hookshot;src/github/GithubInstance.ts;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/matrix-org/matrix-hookshot/commit/e51d8210233ac759e7f7dfebc2c4f1bf6ce94802;https://github.com/maladesov/matrix-hookshot/blob/HEAD/src/github/GithubInstance.ts;;
integration;CVE-2025-23197;yncyrydybyl/matrix-hookshot;src/github/GithubInstance.ts;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/matrix-org/matrix-hookshot/commit/e51d8210233ac759e7f7dfebc2c4f1bf6ce94802;https://github.com/yncyrydybyl/matrix-hookshot/blob/HEAD/src/github/GithubInstance.ts;;
sdk;CVE-2025-48937;matrix-construct/matrix-rust-sdk;crates/matrix-sdk-crypto/src/machine/mod.rs;CONFIRMED_PATCHED;1.0;CORRIGIDO;TP (concordam: corrigido);https://github.com/matrix-org/matrix-rust-sdk/commit/13c1d2048286bbabf5e7bc6b015aafee98f04d55;https://github.com/matrix-construct/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk-crypto/src/machine/mod.rs;;
integration;CVE-2023-43656;Rath-debug/matrix-hookshot;src/Connections/GenericHook.ts;AMBIGUOUS;0.3333;ZONA_INCERTEZA;AMBIGUO (fora das métricas);https://github.com/matrix-org/matrix-hookshot/commit/dc126afa6af86d66aefcd23a825326f405bcc894;https://github.com/Rath-debug/matrix-hookshot/blob/HEAD/src/Connections/GenericHook.ts;;
integration;CVE-2023-43656;maladesov/matrix-hookshot;src/Connections/GenericHook.ts;AMBIGUOUS;0.3333;ZONA_INCERTEZA;AMBIGUO (fora das métricas);https://github.com/matrix-org/matrix-hookshot/commit/dc126afa6af86d66aefcd23a825326f405bcc894;https://github.com/maladesov/matrix-hookshot/blob/HEAD/src/Connections/GenericHook.ts;;
integration;CVE-2023-43656;yncyrydybyl/matrix-hookshot;src/Connections/GenericHook.ts;AMBIGUOUS;0.3333;ZONA_INCERTEZA;AMBIGUO (fora das métricas);https://github.com/matrix-org/matrix-hookshot/commit/dc126afa6af86d66aefcd23a825326f405bcc894;https://github.com/yncyrydybyl/matrix-hookshot/blob/HEAD/src/Connections/GenericHook.ts;;
sdk;CVE-2025-66622;SchildiChat/matrix-rust-sdk;crates/matrix-sdk-base/src/room/room_info.rs;AMBIGUOUS;0.6667;ZONA_INCERTEZA;AMBIGUO (fora das métricas);https://github.com/matrix-org/matrix-rust-sdk/commit/4ea0418abefab2aa93f8851a4d39c723e703e6b0;https://github.com/SchildiChat/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk-base/src/room/room_info.rs;;
sdk;CVE-2025-66622;matrix-construct/matrix-rust-sdk;crates/matrix-sdk-base/src/room/room_info.rs;AMBIGUOUS;0.6667;ZONA_INCERTEZA;AMBIGUO (fora das métricas);https://github.com/matrix-org/matrix-rust-sdk/commit/4ea0418abefab2aa93f8851a4d39c723e703e6b0;https://github.com/matrix-construct/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk-base/src/room/room_info.rs;;
sdk;CVE-2025-66622;verji/matrix-rust-sdk;crates/matrix-sdk-base/src/room/room_info.rs;AMBIGUOUS;0.6667;ZONA_INCERTEZA;AMBIGUO (fora das métricas);https://github.com/matrix-org/matrix-rust-sdk/commit/4ea0418abefab2aa93f8851a4d39c723e703e6b0;https://github.com/verji/matrix-rust-sdk/blob/HEAD/crates/matrix-sdk-base/src/room/room_info.rs;;
server;CVE-2025-61672;kakahu2015/synapse;synapse/rest/client/keys.py;AMBIGUOUS;0.6;CORRIGIDO;AMBIGUO (fora das métricas);https://github.com/element-hq/synapse/commit/26aaaf9e48fff80cf67a20c691c75d670034b3c1 | https://github.com/element-hq/synapse/commit/7069636c2d6d1ef2022287addf3ed8b919ef2740;https://github.com/kakahu2015/synapse/blob/HEAD/synapse/rest/client/keys.py;;
server;CVE-2025-61672;microchipster/synapse;synapse/rest/client/keys.py;AMBIGUOUS;0.6;CORRIGIDO;AMBIGUO (fora das métricas);https://github.com/element-hq/synapse/commit/26aaaf9e48fff80cf67a20c691c75d670034b3c1 | https://github.com/element-hq/synapse/commit/7069636c2d6d1ef2022287addf3ed8b919ef2740;https://github.com/microchipster/synapse/blob/HEAD/synapse/rest/client/keys.py;;
server;CVE-2025-61672;shcherbak/synapse;synapse/rest/client/keys.py;AMBIGUOUS;0.6;CORRIGIDO;AMBIGUO (fora das métricas);https://github.com/element-hq/synapse/commit/26aaaf9e48fff80cf67a20c691c75d670034b3c1 | https://github.com/element-hq/synapse/commit/7069636c2d6d1ef2022287addf3ed8b919ef2740;https://github.com/shcherbak/synapse/blob/HEAD/synapse/rest/client/keys.py;;
